[WARN] [1754074381.418159534] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074382.418169783] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074383.418164115] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074384.418177650] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074385.418107143] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074386.418197807] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074387.418144079] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074388.418099415] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074389.418080352] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074390.418207782] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074391.418112415] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074392.418173618] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074393.418112039] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074394.418077231] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074395.418106526] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074396.418174635] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074397.418091296] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074398.418185415] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074399.418186109] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074400.418166533] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074401.418183212] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074402.418177466] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074403.418104707] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074404.418101805] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074405.418175981] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
